CD_SETOR,CD_UF,SIGLA_UF,cluster
110001505000002,11,RO,3
110001505000003,11,RO,0
110001505000004,11,RO,3
110001505000006,11,RO,0
110001505000007,11,RO,0
110001505000011,11,RO,1
110001505000012,11,RO,2
110001505000014,11,RO,2
110001505000015,11,RO,3
110001505000016,11,RO,3
110001505000017,11,RO,3
110001505000018,11,RO,3
110001505000020,11,RO,11
110001505000021,11,RO,11
110001505000025,11,RO,7
110001505000026,11,RO,4
110001505000027,11,RO,7
110001505000028,11,RO,11
110001505000029,11,RO,11
110001505000030,11,RO,11
110001505000031,11,RO,5
110001505000032,11,RO,11
110001505000033,11,RO,7
110001505000034,11,RO,6
110001505000051,11,RO,5
110001505000052,11,RO,5
110001505000053,11,RO,1
110001505000054,11,RO,1
110001505000056,11,RO,7
110001505000057,11,RO,0
110001505000058,11,RO,3
110001505000059,11,RO,2
110001505000061,11,RO,1
110001505000062,11,RO,1
110001505000063,11,RO,8
110001505000064,11,RO,3
110001505000065,11,RO,5
110001505000066,11,RO,5
110001505000067,11,RO,7
110001505000068,11,RO,7
110001505000069,11,RO,4
110001505000070,11,RO,7
110001515000001,11,RO,9
110001515000002,11,RO,9
110001515000003,11,RO,11
110001520000001,11,RO,10
110001520000002,11,RO,9
110001520000004,11,RO,9
110001520000007,11,RO,9
110001525000001,11,RO,11
110001525000003,11,RO,11
110001525000004,11,RO,11
110001525000005,11,RO,11
110001525000006,11,RO,11
110001525000007,11,RO,4
110001525000008,11,RO,11
110001525000013,11,RO,11
110001525000017,11,RO,11
110001525000018,11,RO,11
110001525000019,11,RO,11
110001525000020,11,RO,11
110001525000021,11,RO,11
110001525000023,11,RO,11
110001525000025,11,RO,11
110001525000026,11,RO,11
110001525000027,11,RO,11
110001525000028,11,RO,11
110001525000029,11,RO,11
110001525000030,11,RO,11
110001525000031,11,RO,11
110001525000032,11,RO,11
110001525000033,11,RO,11
110001525000034,11,RO,11
110001530000001,11,RO,9
110001530000002,11,RO,9
110001530000004,11,RO,9
110001530000005,11,RO,9
110001530000006,11,RO,9
110001530000007,11,RO,
110001535000001,11,RO,11
110001535000002,11,RO,4
110001535000003,11,RO,11
110001535000004,11,RO,11
110001535000005,11,RO,11
110001535000006,11,RO,11
110002305000001,11,RO,14
110002305000003,11,RO,12
110002305000004,11,RO,54
110002305000005,11,RO,12
110002305000006,11,RO,12
110002305000007,11,RO,26
