#############################################################################
# Project CNPq: Increasing PHC with team sizing
# Author: João Flávio de Freitas Almeida <joao.flavio@dep.ufmg.br>
# LEPOINT: Laboratório de Estudos em Planejamento de Operações Integradas
# Departamento de Engenharia de Produção
# Universidade Federal de Minas Gerais - Escola de Engenharia
#############################################################################
# Health Care Facility Location Problem: Considering fixed facilities,
# choose intermediate facilities according a criteria that improve service
# quality. Consider health care teams.
#############################################################################
# glpsol -m aps.mod -d LS.dat --cuts

#############################################################################
# DADOS REFERENTES AO MUNICIPIO DE: 
# Belo Horizonte 
#############################################################################
data;
# Distance matrix between same-level facilities (for team transfer) 
# {EL[1], L[1]} default 0; # Distance between L1 facilities (min)  
param DL1 := 
3106200022772 3106200022772 0 
3106200022772 3106200023388 2540 
3106200022772 3106200024155 1894 
3106200022772 3106200024139 1128 
3106200022772 3106200024104 2170 
3106200022772 3106200024147 608 
3106200022772 3106200024120 2717 
3106200022772 3106202695766 2284 
3106200022772 3106207772106 2322 
3106200022772 3106200024163 2128 
3106200022772 3106200024090 3094 
3106200022772 3106203002446 5286 
3106200022772 3106200022950 6502 
3106200022772 3106200023000 6985 
3106200022772 3106200022993 3873 
3106200022772 3106200022853 4076 
3106200022772 3106200022861 7218 
3106200022772 3106200022926 4206 
3106200022772 3106200022969 6124 
3106200022772 3106200022888 4788 
3106200022772 3106200022845 7075 
3106200022772 3106200022896 6992 
3106200022772 3106200023183 5956 
3106200022772 3106200023175 7472 
3106200022772 3106200023191 7951 
3106200022772 3106200023167 6961 
3106200022772 3106202695731 5491 
3106200022772 3106200023205 7009 
3106200022772 3106200023108 8823 
3106200022772 3106200023086 7955 
3106200022772 3106200023868 6820 
3106200022772 3106202695448 7115 
3106200022772 3106200023906 8325 
3106200022772 3106200023884 9401 
3106200022772 3106202695774 6707 
3106200022772 3106200023825 6275 
3106200022772 3106200024015 4120 
3106200022772 3106203451658 4377 
3106200022772 3106202695464 6119 
3106200022772 3106200023841 7809 
3106200022772 3106200023914 6336 
3106200022772 3106200023965 9535 
3106200022772 3106200023957 4560 
3106200022772 3106200024171 5456 
3106200022772 3106200555142 10152 
3106200022772 3106202695499 11213 
3106200022772 3106200023434 5330 
3106200022772 3106200023760 5330 
3106200022772 3106200023442 4163 
3106200022772 3106200023736 3948 
3106200022772 3106203286401 4840 
3106200022772 3106200023396 6769 
3106200022772 3106200023337 2867 
3106200022772 3106200023418 5374 
3106200022772 3106200023469 6668 
3106200022772 3106200023361 7455 
3106200022772 3106200023930 7455 
3106200022772 3106209077324 8739 
3106200022772 3106202695472 8445 
3106200022772 3106202695480 4841 
3106200022772 3106200023345 3993 
3106200022772 3106200023450 2860 
3106200022772 3106200023426 6441 
3106200022772 3106200023558 10345 
3106200022772 3106200023531 8990 
3106200022772 3106200023507 8226 
3106200022772 3106200024023 10168 
3106200022772 3106207995369 8612 
3106200022772 3106200024007 8612 
3106200022772 3106200023892 7391 
3106200022772 3106202708310 8509 
3106200022772 3106205618312 10203 
3106200022772 3106200023477 9930 
3106200022772 3106200023485 10936 
3106200022772 3106200023493 10134 
3106200022772 3106200022632 9610 
3106200022772 3106200022624 10159 
3106200022772 3106200022705 11746 
3106200022772 3106200022713 12668 
3106200022772 3106200022659 7548 
3106200022772 3106200022640 7548 
3106200022772 3106200022586 7522 
3106200022772 3106203232271 12770 
3106200022772 3106200022608 12886 
3106200022772 3106200022748 11093 
3106200022772 3106200022756 7779 
3106200022772 3106203015998 7335 
3106200022772 3106203008525 12595 
3106200022772 3106200022543 12268 
3106200022772 3106200022675 6788 
3106200022772 3106200022578 8823 
3106200022772 3106200022616 10167 
3106200022772 3106200023043 12223 
3106200022772 3106200023035 13741 
3106200022772 3106200023132 13875 
3106200022772 3106205432243 10912 
3106200022772 3106200023140 8633 
3106200022772 3106200023094 9267 
3106200022772 3106202820609 11147 
3106200022772 3106204908732 11627 
3106200022772 3106200023159 11543 
3106200022772 3106200023787 12971 
3106200022772 3106200023248 12743 
3106200022772 3106205219175 13380 
3106200022772 3106200023795 12081 
3106200022772 3106200023256 11453 
3106200022772 3106200023264 11546 
3106200022772 3106202695456 12914 
3106200022772 3106205866383 12022 
3106200022772 3106200023728 9411 
3106200022772 3106200023213 10505 
3106200022772 3106200023817 12857 
3106200022772 3106209166718 14495 
3106200022772 3106200023701 15257 
3106200022772 3106200023779 15016 
3106200022772 3106202695421 11775 
3106200022772 3106200023221 10683 
3106200022772 3106200023515 12586 
3106200022772 3106200023744 15078 
3106200022772 3106200023655 16858 
3106200022772 3106209166793 13839 
3106200022772 3106200023671 13489 
3106200022772 3106203411451 13103 
3106200022772 3106200023604 14910 
3106200022772 3106200023639 17403 
3106200022772 3106200023663 16454 
3106200022772 3106200023574 16236 
3106200022772 3106200023647 15276 
3106200022772 3106206368379 14663 
3106200022772 3106200023620 16719 
3106200022772 3106200023698 16097 
3106200022772 3106200023019 14040 
3106200022772 3106200023612 14361 
3106200022772 3106205471532 17403 
3106200022772 3106200023590 14030 
3106200022772 3106203426637 15727 
3106200023388 3106200022772 2540 
3106200023388 3106200023388 0 
3106200023388 3106200024155 4096 
3106200023388 3106200024139 3111 
3106200023388 3106200024104 3007 
3106200023388 3106200024147 2368 
3106200023388 3106200024120 2632 
3106200023388 3106202695766 1646 
3106200023388 3106207772106 249 
3106200023388 3106200024163 3464 
3106200023388 3106200024090 1687 
3106200023388 3106203002446 4518 
3106200023388 3106200022950 5417 
3106200023388 3106200023000 5199 
3106200023388 3106200022993 3292 
3106200023388 3106200022853 4492 
3106200023388 3106200022861 6574 
3106200023388 3106200022926 1835 
3106200023388 3106200022969 4521 
3106200023388 3106200022888 3279 
3106200023388 3106200022845 5086 
3106200023388 3106200022896 6316 
3106200023388 3106200023183 3416 
3106200023388 3106200023175 4934 
3106200023388 3106200023191 5617 
3106200023388 3106200023167 4483 
3106200023388 3106202695731 2959 
3106200023388 3106200023205 4706 
3106200023388 3106200023108 6406 
3106200023388 3106200023086 5426 
3106200023388 3106200023868 6145 
3106200023388 3106202695448 6731 
3106200023388 3106200023906 7287 
3106200023388 3106200023884 8152 
3106200023388 3106202695774 4306 
3106200023388 3106200023825 3841 
3106200023388 3106200024015 1638 
3106200023388 3106203451658 2658 
3106200023388 3106202695464 5051 
3106200023388 3106200023841 6745 
3106200023388 3106200023914 4698 
3106200023388 3106200023965 8591 
3106200023388 3106200023957 2174 
3106200023388 3106200024171 4500 
3106200023388 3106200555142 8922 
3106200023388 3106202695499 8680 
3106200023388 3106200023434 6399 
3106200023388 3106200023760 6399 
3106200023388 3106200023442 4781 
3106200023388 3106200023736 4860 
3106200023388 3106203286401 6468 
3106200023388 3106200023396 7365 
3106200023388 3106200023337 4411 
3106200023388 3106200023418 5938 
3106200023388 3106200023469 7251 
3106200023388 3106200023361 7700 
3106200023388 3106200023930 7700 
3106200023388 3106209077324 8630 
3106200023388 3106202695472 8374 
3106200023388 3106202695480 6160 
3106200023388 3106200023345 5769 
3106200023388 3106200023450 3511 
3106200023388 3106200023426 7477 
3106200023388 3106200023558 8499 
3106200023388 3106200023531 6450 
3106200023388 3106200023507 5691 
3106200023388 3106200024023 8549 
3106200023388 3106207995369 7157 
3106200023388 3106200024007 7157 
3106200023388 3106200023892 5452 
3106200023388 3106202708310 6531 
3106200023388 3106205618312 7679 
3106200023388 3106200023477 7690 
3106200023388 3106200023485 8919 
3106200023388 3106200023493 7915 
3106200023388 3106200022632 11197 
3106200023388 3106200022624 11947 
3106200023388 3106200022705 13070 
3106200023388 3106200022713 14322 
3106200023388 3106200022659 8657 
3106200023388 3106200022640 8657 
3106200023388 3106200022586 8910 
3106200023388 3106203232271 13653 
3106200023388 3106200022608 13893 
3106200023388 3106200022748 12525 
3106200023388 3106200022756 9589 
3106200023388 3106203015998 9117 
3106200023388 3106203008525 14193 
3106200023388 3106200022543 13135 
3106200023388 3106200022675 9007 
3106200023388 3106200022578 10415 
3106200023388 3106200022616 11449 
3106200023388 3106200023043 9918 
3106200023388 3106200023035 11540 
3106200023388 3106200023132 11520 
3106200023388 3106205432243 8957 
3106200023388 3106200023140 6480 
3106200023388 3106200023094 6870 
3106200023388 3106202820609 8842 
3106200023388 3106204908732 9554 
3106200023388 3106200023159 9387 
3106200023388 3106200023787 10457 
3106200023388 3106200023248 10237 
3106200023388 3106205219175 10866 
3106200023388 3106200023795 9606 
3106200023388 3106200023256 8973 
3106200023388 3106200023264 9008 
3106200023388 3106202695456 10503 
3106200023388 3106205866383 9679 
3106200023388 3106200023728 6923 
3106200023388 3106200023213 7976 
3106200023388 3106200023817 10317 
3106200023388 3106209166718 11971 
3106200023388 3106200023701 12717 
3106200023388 3106200023779 12488 
3106200023388 3106202695421 9253 
3106200023388 3106200023221 8207 
3106200023388 3106200023515 10106 
3106200023388 3106200023744 12615 
3106200023388 3106200023655 14363 
3106200023388 3106209166793 11353 
3106200023388 3106200023671 11039 
3106200023388 3106203411451 10732 
3106200023388 3106200023604 12638 
3106200023388 3106200023639 14888 
3106200023388 3106200023663 13934 
3106200023388 3106200023574 13698 
3106200023388 3106200023647 12740 
3106200023388 3106206368379 12135 
3106200023388 3106200023620 14291 
3106200023388 3106200023698 13732 
3106200023388 3106200023019 11500 
3106200023388 3106200023612 11946 
3106200023388 3106205471532 14888 
3106200023388 3106200023590 11510 
3106200023388 3106203426637 13317 
