#############################################################################
# Project CNPq: Increasing PHC with team sizing
# Author: João Flávio de Freitas Almeida <joao.flavio@dep.ufmg.br>
# LEPOINT: Laboratório de Estudos em Planejamento de Operações Integradas
# Departamento de Engenharia de Produção
# Universidade Federal de Minas Gerais - Escola de Engenharia
#############################################################################
# Health Care Facility Location Problem: Considering fixed facilities,
# choose intermediate facilities according a criteria that improve service
# quality. Consider health care teams.
#############################################################################
# glpsol -m aps.mod -d LS.dat --cuts

#############################################################################
# DADOS REFERENTES AO MUNICIPIO DE: 
# Lagoa Santa 
#############################################################################
data;
# Distance matrix between same-level facilities (for team transfer) 
# {EL[1], L[1]} default 0; # Distance between L1 facilities (min)  
param DL1 := 
313760105000013 313760105000002 3125 
313760105000013 313760105000003 3668 
313760105000013 313760105000005 2062 
313760105000013 313760105000007 2025 
313760105000013 313760105000008 1848 
313760105000013 313760105000009 1588 
313760105000013 31376010500001 922 
313760105000013 313760105000011 608 
313760105000013 313760105000012 452 
313760105000013 313760105000013  
313760105000013 313760105000015 1827 
313760105000013 313760105000016 1346 
313760105000013 31376010500002 2856 
313760105000013 313760105000021 311 
313760105000013 313760105000022 3292 
313760105000013 313760105000024 5616 
313760105000013 313760105000026 3651 
313760105000013 313760105000027 4686 
313760105000013 313760105000028 3953 
313760105000013 313760105000029 3454 
313760105000013 31376010500003 3366 
313760105000013 313760105000036 4139 
313760105000013 313760105000037 4401 
313760105000013 313760105000039 6428 
313760105000013 31376010500004 6715 
313760105000013 313760105000043 7227 
313760105000013 313760105000045 6649 
313760105000013 313760105000048 4447 
313760105000013 31376010500005 623 
313760105000013 313760105000058 6016 
313760105000013 313760105000064 7717 
313760105000013 313760105000066 4063 
313760105000013 313760105000067 3814 
313760105000013 313760105000068 3558 
313760105000013 313760105000069 3658 
313760105000013 313760105000071 2771 
313760105000013 313760105000072 2376 
313760105000013 313760105000074 1689 
313760105000013 313760105000075 1509 
313760105000013 313760105000076 1383 
313760105000013 313760105000077 1647 
313760105000013 313760105000078 1514 
313760105000013 31376010500008 1345 
313760105000013 313760105000081 1094 
313760105000013 313760105000082 872 
313760105000013 313760105000083 69 
313760105000013 313760105000084 1019 
313760105000013 313760105000085 1125 
313760105000013 313760105000086 1187 
313760105000013 313760105000087 1217 
313760105000013 313760105000088 12 
313760105000013 313760105000089 531 
313760105000013 31376010500009 541 
313760105000013 313760105000091 663 
313760105000013 313760105000092 1521 
313760105000013 313760105000094 747 
313760105000013 313760105000095 634 
313760105000013 313760105000096 1487 
313760105000013 313760105000097 1205 
313760105000013 313760105000098 1248 
313760105000013 313760105000099 1747 
313760105000013 313760105000101 1714 
313760105000013 313760105000102 2687 
313760105000013 313760105000103 239 
313760105000013 313760105000105 3128 
313760105000013 313760105000106 3209 
313760105000013 313760105000108 2755 
313760105000013 313760105000109 3022 
313760105000013 31376010500011 3355 
313760105000013 313760105000112 401 
313760105000013 313760105000114 4619 
313760105000013 313760105000118 4688 
313760105000013 31376010500012 3688 
313760105000013 313760105000122 423 
313760105000013 313760105000123 349 
313760105000013 313760105000124 3498 
313760105000013 313760105000125 324 
313760105000013 313760105000126 3335 
313760105000013 313760105000127 3277 
313760105000013 313760105000128 441 
313760105000013 313760105000129 5197 
313760105000013 313760105000132 402 
313760105000013 313760105000133 4694 
313760105000013 313760105000134 4841 
313760105000013 313760105000135 5875 
313760105000013 313760105000136 6241 
313760105000013 313760105000138 7436 
313760105000013 313760105000139 7273 
313760105000013 31376010500014 6858 
313760105000013 313760105000141 6588 
313760105000013 313760105000142 6046 
313760105000013 313760105000144 2038 
313760105000013 313760105000145 2386 
313760105000013 313760105000146 5548 
313760105000013 313760105000147 6376 
313760105000013 31376010500015 7729 
313760105000013 313760105000151 8102 
313760105000013 313760105000152 9897 
313760105000013 313760105000161 4042 
313760105000013 313760105000162 7495 
313760105000013 313760105000163 7552 
313760105000013 313760105000164 7532 
313760105000013 313760105000165 292 
313760105000013 313760105000166 4184 
313760105000013 313760105000167 3799 
313760105000013 313760105000168 3507 
313760105000013 313760105000169 3614 
313760105000013 31376010500017 2635 
313760105000013 313760105000171 2323 
313760105000013 313760105000172 7212 
313760105000013 313760105000173 5423 
313760105000013 313760105000174 5995 
313760105000013 313760105000175 387 
313760105000013 313760105000176 3758 
313760105000013 313760105000177 497 
313760105000013 313760105000178 4996 
313760105000013 313760105000179 4923 
313760105000013 31376010500018 4986 
313760105000013 313760105000182 7902 
313760105000013 313760105000183 7897 
313760105000013 313760105000184 7816 
313760105000013 313760105000185 7892 
313760105000013 313760105000186 7085 
313760105000013 313760105000187 6873 
313760105000013 313760105000188 4415 
313760105000013 313760105000189 4858 
313760105000013 31376010500019 7967 
313760105000013 313760105000191 7948 
313760105000013 313760105000192 8265 
313760105000013 313760105000193 7879 
313760105000013 313760105000194 7707 
313760105000013 313760105000195 5441 
313760105000013 313760105000196 4835 
313760105000013 313760105000198 1979 
313760105000013 313760105000199 1716 
313760105000013 3137601050002 1647 
313760105000013 313760105000201 198 
313760105000013 313760105000202 2183 
313760105000013 313760105000203 309 
313760105000013 313760105000204 3158 
313760105000013 313760105000205 4353 
313760105000013 313760105000206 4448 
313760105000013 313760105000207 4683 
313760105000013 313760105000208 4481 
313760105000013 313760105000209 7706 
313760105000013 31376010500021 8064 
313760105000013 313760105000211 2226 
313760105000013 313760105000212 1938 
313760105000013 313760105000213 1699 
313760105000013 313760105000214 1405 
313760105000013 313760105000215 5184 
313760105000013 313760105000216 4579 
313760105000013 313760105000217 4874 
313760105000013 313760105000218 4548 
313760105000013 313760105000219 5203 
313760105000013 31376010500022 5958 
313760105000013 313760105000221 5322 
313760105000013 313760105000222 7147 
313760105000013 313760105000223 7068 
313760105000013 313760105000224 6592 
313760105000013 313760105000225 5845 
313760105000013 313760105000226 6119 
313760105000013 313760105000227 6459 
313760105000013 313760105000228 6631 
313760105000013 313760105000229 6341 
313760105000013 31376010500023 6171 
313760105000013 313760105000231 6511 
313760105000013 313760105000232 608 
313760105000013 313760105000233 7046 
313760105000013 313760105000234 3772 
313760105000013 313760105000235 4112 
313760105000013 313760105000236 3812 
313760105000013 313760105000237 4046 
313760105000013 313760105000238 2007 
313760105000013 313760105000239 2095 
313760105000013 31376010500024 2442 
313760105000013 313760105000241 2379 
313760105000013 313760105000242 4318 
313760105000013 313760105000243 4295 
313760105000013 313760105000245 2611 
313760105000013 313760105000246 3814 
313760105000013 313760105000247 362 
313760105000013 313760105000248 1052 
313760105000013 313760105000249 1417 
313760105000013 31376010500025 417 
313760105000013 313760105000251 4073 
313760105000013 313760105000252 4623 
313760105000013 313760105000253 4319 
313760105000013 313760105000254 6384 
313760105000013 313760105000255 6436 
313760105000013 313760105000256 168 
313760105000013 313760105000257 1694 
313760105000013 313760105000258 4137 
313760105000013 313760105000259 3895 
313760105000013 31376010500026 5287 
313760105000013 313760105000261 5363 
313760105000013 313760105000262 5305 
313760105000013 313760105000263 5305 
313760105000013 313760105000264 6249 
313760105000013 313760105000265 2356 
313760105000013 313760105000266 7184 
313760105000013 313760105000267 7358 
313760105000013 313760105000268 7047 
313760105000013 313760105000269 6954 
313760105000013 31376010500027 936 
313760105000013 313760105000271 897 
313760105000013 313760105000272 4796 
313760105000013 313760105000273 5042 
313760105000013 313760105000274 277 
